Race,,ALB,,,ALO,,,BOT,,,GAS,,,HAM,,,HUL,,,LEC,,,MAG,,,NOR,,,OCO,,,PER,,,PIA,,,RIC,,,RUS,,,SAI,,,SAR,,,STR,,,TSU,,,VER,,,ZHO,,
#,Location,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points,Position Points,Lap Points,Championship Points
1,Bahrain,-2,56,0,-3,57,1,-3,56,0,2,56,0,2,57,6,-6,56,0,-2,57,12,3,56,0,1,57,8,2,56,0,3,57,18,0,57,4,1,56,0,-2,57,10,1,57,15,-2,55,0,2,57,1,-4,56,0,0,57,16,6,56,0
2,Saudi Arabia,1,50,0,-1,50,10,-1,49,0,-2,1,0,-1,50,2,5,50,1,-1,50,16,1,50,0,-2,50,4,4,49,0,1,50,18,1,50,12,-2,49,0,1,50,8,4,50,6,4,49,0,-10,5,0,-5,49,0,0,50,15,2,49,0
3,Australia,1,57,0,4,58,4,-1,57,0,4,57,0,-7,15,0,7,58,2,2,58,19,4,57,1,0,58,15,-1,57,0,1,58,10,1,58,12,6,57,0,-10,56,0,1,58,25,0,0,0,2,58,8,0,58,6,-18,3,0,19,57,0
4,Japan,-6,0,0,-1,53,8,-1,52,0,1,52,0,-2,53,2,1,52,0,4,53,12,5,52,0,-2,53,10,0,52,0,0,53,18,-2,53,4,-9,0,0,2,53,6,1,53,15,2,52,0,4,52,0,0,52,1,0,53,16,2,12,0
5,China (Spr),1,19,0,-17,17,0,-3,19,0,1,19,0,0,19,7,-6,19,0,3,19,5,2,19,0,-5,19,3,4,19,0,3,19,6,1,19,2,3,19,0,3,19,0,0,19,4,2,19,0,1,19,0,3,19,0,3,19,4.8,1,19,0
6,China,2,56,0,-4,56,7,-10,19,0,2,56,0,9,56,2,-1,56,1,2,56,12,1,56,0,2,56,18,2,56,0,-1,56,15,-3,56,4,-6,33,0,2,56,8,2,56,10,3,56,0,-4,56,0,0,26,0,0,56,15,2,56,0
7,Miami (Spr),7,19,0,-9,19,0,4,19,0,7,19,0,-4,19,0,3,19,2,0,19,7,-4,19,0,-11,0,0,-2,19,0,0,19,6,0,19,3,0,19,5,-1,19,0,0,19,3,9,19,0,-12,1,0,7,19,1,0,19,6,6,19,0
8,Miami,-4,57,0,6,57,2,0,57,0,0,57,0,2,57,8,-2,57,0,-1,57,15,0,57,0,4,57,25,3,57,1,0,57,12,-7,57,0,3,57,0,-1,57,4,-2,57,10,-3,27,0,-6,57,0,3,57,6,-1,57,13.5,6,57,0
